GEOID,median_household_income,imputed
360650201021,57583,0
360650203001,36031,0
360650203002,16719,0
360650207051,68438,0
360650207052,79375,0
360650208021,35992,0
360650208022,47821,1
360650208023,47821,1
360650208024,47821,1
360650208025,57500,0
360650208031,53777,0
360650208032,40028,0
360650208033,49457,1
360650208034,75300,0
360650209001,32205,0
360650209002,31125,0
360650210001,14796,0
360650210002,37107,0
360650211031,29583,0
360650211041,32240,0
360650211042,30044,0
360650211043,23029,0
360650212011,28553,1
360650212012,23274,0
360650212021,47991,1
360650212022,47991,1
360650213011,97552,1
360650213012,98750,0
360650213021,30945,0
360650213022,62691,0
360650213023,58967,0
360650213031,20610,0
360650213032,117833,0
360650213033,79261,0
360650214011,54444,0
360650214012,53286,0
360650214013,55790,0
360650214021,52188,0
360650214022,72868,0
360650215001,31538,0
360650215002,31683,0
360650216011,78944,1
360650216012,77819,0
360650216013,79845,0
360650216021,109750,0
360650216022,81036,0
360650217011,91250,0
360650217012,95574,0
360650217013,94167,0
360650217021,66642,0
360650217022,59118,0
360650217023,58636,0
360650219001,31810,0
360650219002,26392,0
360650220001,52196,0
360650220002,41118,0
360650220003,96042,0
360650221001,57963,0
360650221002,61172,0
360650222001,65966,0
360650222002,142773,0
360650222003,106806,0
360650224001,71528,0
360650224002,59464,0
360650224003,45833,0
360650225001,43790,0
360650225002,26302,0
360650225003,41111,0
360650225004,79638,0
360650227011,76691,0
360650227012,105600,0
360650227021,78267,0
360650227022,93172,0
360650227023,120875,0
360650228001,81324,0
360650228002,121538,0
360650230001,138333,0
360650230002,52969,0
360650230003,104017,0
360650232001,39020,0
360650232002,88235,0
360650232003,50913,0
360650232004,29297,0
360650233001,110294,0
360650233002,75066,0
360650233003,61090,0
360650234001,74063,0
360650234002,68720,0
360650234003,34228,0
360650234004,80625,0
360650235011,99423,0
360650235012,139896,0
360650235021,91346,0
360650235022,122917,0
360650235023,119274,0
360650237021,98482,0
360650237022,98267,0
360650239011,77091,0
360650239012,111094,0
360650239021,92031,0
360650239022,110057,0
360650240001,79240,0
360650240002,94853,0
360650241011,69167,0
360650241012,75417,0
360650241021,65833,0
360650241022,59792,0
360650241023,80278,0
360650242001,110313,0
360650242002,61917,0
360650242003,52813,0
360650243011,122740,0
360650243012,100859,0
360650243013,96719,0
360650243021,91926,0
360650243022,77788,0
360650243031,86500,0
360650243032,86250,0
360650244001,66425,0
360650244002,67308,0
360650244003,77813,0
360650245001,34489,0
360650245002,100357,0
360650245003,78375,0
360650247001,66982,0
360650247002,83438,0
360650247003,88667,0
360650247004,92798,0
360650248001,67277,0
360650248002,93375,0
360650249001,96094,0
360650249002,63988,0
360650249003,66333,0
360650250011,65268,0
360650250012,56250,0
360650250013,103173,0
360650250021,123938,0
360650250022,83456,0
360650250023,80500,0
360650250024,74307,0
360650250031,180625,0
360650250032,145347,0
360650251001,47240,0
360650251002,109107,0
360650252001,48168,0
360650252002,68931,0
360650253001,86061,0
360650253002,145080,0
360650253003,162688,0
360650253004,136696,0
360650253005,119615,0
360650254001,131389,0
360650254002,141688,0
360650254003,97868,0
360650254004,48750,0
360650255001,88024,0
360650255002,91500,0
360650255003,124318,0
360650256011,95156,0
360650256012,120313,0
360650256021,65474,0
360650256022,46250,0
360650257001,86464,0
360650257002,97292,0
360650258001,55357,0
360650258002,41705,0
360650259001,,1
360650261001,63235,0
360650261002,95208,1
360650261003,171625,0
360650262001,92675,1
360650262002,106104,0
360650262003,94250,0
360650262004,74365,0
360650263001,14238,0
360650263002,51164,0
360650263003,42179,0
360650264001,42205,1
360650264002,42205,1
360650264003,58640,0
360650264004,42205,1
360650264005,42205,1
360650265011,,1
360650265021,,1
360650266001,,1
360650267000,83244,1
360650267001,88029,0
360650267002,80000,0
360650267003,86576,0
360650267004,56875,0
360659800021,,1
360659800031,,1
360659801001,,1
