GEOID,population
360650201021,1225
360650203001,736
360650203002,466
360650207051,934
360650207052,935
360650208021,2299
360650208022,502
360650208023,466
360650208024,0
360650208025,740
360650208031,1230
360650208032,686
360650208033,0
360650208034,973
360650209001,1808
360650209002,498
360650210001,1106
360650210002,655
360650211031,1719
360650211041,2091
360650211042,1020
360650211043,1520
360650212011,832
360650212012,1171
360650212021,1133
360650212022,1611
360650213011,524
360650213012,782
360650213021,2002
360650213022,2184
360650213023,1017
360650213031,839
360650213032,2164
360650213033,794
360650214011,1697
360650214012,654
360650214013,616
360650214021,986
360650214022,718
360650215001,1622
360650215002,1366
360650216011,1231
360650216012,1453
360650216013,2513
360650216021,782
360650216022,1805
360650217011,1178
360650217012,626
360650217013,1218
360650217021,1361
360650217022,674
360650217023,605
360650219001,906
360650219002,652
360650220001,1518
360650220002,776
360650220003,1207
360650221001,1547
360650221002,892
360650222001,696
360650222002,1040
360650222003,807
360650224001,1364
360650224002,1069
360650224003,1288
360650225001,1338
360650225002,756
360650225003,1693
360650225004,368
360650227011,1007
360650227012,1313
360650227021,1478
360650227022,1515
360650227023,568
360650228001,1063
360650228002,1939
360650230001,2265
360650230002,846
360650230003,2781
360650232001,921
360650232002,646
360650232003,1849
360650232004,707
360650233001,824
360650233002,1016
360650233003,773
360650234001,1625
360650234002,953
360650234003,1390
360650234004,1207
360650235011,1489
360650235012,914
360650235021,528
360650235022,1999
360650235023,1957
360650237021,1959
360650237022,1743
360650239011,1043
360650239012,1212
360650239021,801
360650239022,877
360650240001,1320
360650240002,2937
360650241011,182
360650241012,1511
360650241021,848
360650241022,807
360650241023,839
360650242001,945
360650242002,2437
360650242003,1083
360650243011,1017
360650243012,827
360650243013,1362
360650243021,1411
360650243022,1457
360650243031,1068
360650243032,1404
360650244001,1403
360650244002,1208
360650244003,1117
360650245001,1312
360650245002,707
360650245003,2695
360650247001,1602
360650247002,1245
360650247003,1442
360650247004,1595
360650248001,823
360650248002,2205
360650249001,2101
360650249002,1238
360650249003,1852
360650250011,1075
360650250012,589
360650250013,777
360650250021,889
360650250022,1241
360650250023,514
360650250024,1404
360650250031,2164
360650250032,1133
360650251001,931
360650251002,1058
360650252001,2295
360650252002,2022
360650253001,1248
360650253002,2163
360650253003,474
360650253004,1451
360650253005,1617
360650254001,1246
360650254002,1091
360650254003,1772
360650254004,1283
360650255001,1599
360650255002,958
360650255003,1704
360650256011,1501
360650256012,662
360650256021,1241
360650256022,610
360650257001,1463
360650257002,968
360650258001,692
360650258002,618
360650259001,1417
360650261001,1238
360650261002,228
360650261003,1008
360650262001,1827
360650262002,2021
360650262003,1305
360650262004,1585
360650263001,1429
360650263002,972
360650263003,1177
360650264001,471
360650264002,1170
360650264003,1550
360650264004,1240
360650264005,1008
360650265011,806
360650265021,205
360650266001,1938
360650267000,0
360650267001,1530
360650267002,453
360650267003,2192
360650267004,1009
360659800021,0
360659800031,0
360659801001,0
